Timestamp,UserReadTime,CPU_Total,Mem_Percent,Net_In,Net_Out,Injector
1768224614.000,2026-01-12 14:30:14,0.00,83.63,2421498880,3971515392,rest
1768224615.000,2026-01-12 14:30:15,17.63,84.10,2421634048,3971525632,rest
1768224615.000,2026-01-12 14:30:15,13.86,84.15,2421734400,3971547136,rest
1768224616.000,2026-01-12 14:30:16,5.84,84.08,2421841920,3971570688,rest
1768224616.000,2026-01-12 14:30:16,20.01,84.16,2422004736,3971612672,rest
1768224617.000,2026-01-12 14:30:17,7.62,84.15,2422135808,3971622912,rest
1768224617.000,2026-01-12 14:30:17,6.91,84.14,2422207488,3971631104,rest
1768224618.000,2026-01-12 14:30:18,4.60,84.17,2422209536,3971636224,rest
1768224618.000,2026-01-12 14:30:18,5.43,84.15,2422222848,3971652608,rest
1768224619.000,2026-01-12 14:30:19,2.56,84.14,2422224896,3971653632,rest
1768224619.000,2026-01-12 14:30:19,2.89,84.14,2422227968,3971656704,rest
1768224620.000,2026-01-12 14:30:20,4.99,84.15,2422231040,3971657728,rest
1768224620.000,2026-01-12 14:30:20,12.28,84.09,2422237184,3971660800,rest
1768224621.000,2026-01-12 14:30:21,14.61,84.18,2422238208,3971663872,rest
1768224621.000,2026-01-12 14:30:21,5.90,84.19,2422247424,3971676160,rest
1768224622.000,2026-01-12 14:30:22,4.43,84.14,2422255616,3971679232,rest
1768224622.000,2026-01-12 14:30:22,6.66,84.21,2422265856,3971719168,rest
1768224623.000,2026-01-12 14:30:23,3.63,84.20,2422280192,3971757056,rest
1768224623.000,2026-01-12 14:30:23,29.28,84.16,2422283264,3971770368,rest
1768224624.000,2026-01-12 14:30:24,8.01,84.17,2422289408,3971775488,rest
1768224624.000,2026-01-12 14:30:24,4.90,84.16,2422295552,3971782656,rest
1768224625.000,2026-01-12 14:30:25,3.76,84.19,2422297600,3971787776,rest
1768224625.000,2026-01-12 14:30:25,6.00,84.10,2422300672,3971790848,rest
1768224626.000,2026-01-12 14:30:26,6.86,84.08,2422302720,3971791872,rest
1768224626.000,2026-01-12 14:30:26,6.26,84.09,2422309888,3971794944,rest
1768224627.000,2026-01-12 14:30:27,4.20,84.08,2422309888,3971795968,rest
1768224627.000,2026-01-12 14:30:27,4.09,84.09,2422312960,3971798016,rest
1768224628.000,2026-01-12 14:30:28,5.63,84.13,2422312960,3971798016,rest
1768224628.000,2026-01-12 14:30:28,3.71,84.11,2422316032,3971801088,rest
1768224629.000,2026-01-12 14:30:29,1.62,84.11,2422320128,3971801088,rest
1768224629.000,2026-01-12 14:30:29,2.96,84.15,2422322176,3971807232,rest
1768224630.000,2026-01-12 14:30:30,6.82,84.19,2422326272,3971808256,rest
1768224630.000,2026-01-12 14:30:30,31.09,84.73,2422343680,3971834880,rest
1768224631.000,2026-01-12 14:30:31,10.55,84.91,2422730752,3971851264,rest
1768224631.000,2026-01-12 14:30:31,3.14,84.92,2422768640,3971875840,rest
1768224632.000,2026-01-12 14:30:32,7.30,88.09,2422768640,3971879936,rest
1768224633.000,2026-01-12 14:30:33,7.36,87.96,2422778880,3971886080,rest
1768224633.000,2026-01-12 14:30:33,13.93,91.53,2422778880,3971886080,rest
1768224634.000,2026-01-12 14:30:34,10.87,92.39,2422780928,3971888128,rest
1768224634.000,2026-01-12 14:30:34,13.34,91.38,2422780928,3971888128,rest
1768224635.000,2026-01-12 14:30:35,5.79,91.42,2422782976,3971890176,rest
1768224635.000,2026-01-12 14:30:35,6.70,91.49,2422782976,3971895296,rest
1768224636.000,2026-01-12 14:30:36,17.88,91.62,2422785024,3971897344,rest
1768224636.000,2026-01-12 14:30:36,19.37,92.77,2422786048,3971898368,rest
1768224637.000,2026-01-12 14:30:37,7.68,92.42,2422793216,3971907584,rest
1768224637.000,2026-01-12 14:30:37,9.31,92.41,2422804480,3971931136,rest
1768224638.000,2026-01-12 14:30:38,8.92,92.40,2422808576,3971944448,rest
1768224638.000,2026-01-12 14:30:38,4.66,91.89,2422814720,3971948544,rest
1768224639.000,2026-01-12 14:30:39,11.22,91.98,2422818816,3971954688,rest
1768224639.000,2026-01-12 14:30:39,13.22,92.03,2422823936,3971961856,rest
